,project,group,sample,group_idx,type
0,ANHIR,COAD_16,HE,0,HE
1,ANHIR,COAD_16,S5,1,HE
2,ANHIR,COAD_16,S6,2,HE
3,ANHIR,COAD_16,S7,3,HE
4,ANHIR,COAD_03,HE,0,HE
5,ANHIR,COAD_03,S2,1,HE
6,ANHIR,COAD_03,S5,2,HE
7,ANHIR,COAD_02,HE,0,HE
8,ANHIR,COAD_02,S2,1,HE
9,ANHIR,COAD_02,S3,2,HE
10,ANHIR,COAD_02,S5,3,HE
11,ANHIR,COAD_02,S6,4,HE
12,ANHIR,COAD_02,S7,5,HE
13,ANHIR,breast_4,ER,0,HE
14,ANHIR,breast_4,HE,1,HE
15,ANHIR,breast_4,HER2,2,HE
16,ANHIR,breast_4,PR,3,HE
17,ANHIR,gastric_1,CD1a,0,HE
18,ANHIR,gastric_1,CD4,1,HE
19,ANHIR,gastric_1,CD68,2,HE
20,ANHIR,gastric_1,CD8,3,HE
21,ANHIR,gastric_5,CD1a,0,HE
22,ANHIR,gastric_5,CD4,1,HE
23,ANHIR,gastric_5,CD68,2,HE
24,ANHIR,gastric_5,CD8,3,HE
25,ANHIR,gastric_5,EBV,4,HE
26,ANHIR,lung-lesion_3,29-041-Izd2-w35-Cc10-5-les3,0,HE
27,ANHIR,lung-lesion_3,29-041-Izd2-w35-CD31-3-les3,1,HE
28,ANHIR,lung-lesion_3,29-041-Izd2-w35-He-les3,2,HE
29,ANHIR,lung-lesion_3,29-041-Izd2-w35-Ki67-7-les3,3,HE
30,ANHIR,lung-lesion_3,29-041-Izd2-w35-proSPC-4-les3,4,HE
31,ANHIR,gastric_9,CD1a,0,HE
32,ANHIR,gastric_9,CD4,1,HE
33,ANHIR,gastric_9,CD68,2,HE
34,ANHIR,gastric_9,CD8,3,HE
35,ANHIR,COAD_12,HE,0,HE
36,ANHIR,COAD_12,S1,1,HE
37,ANHIR,COAD_12,S2,2,HE
38,ANHIR,COAD_12,S3,3,HE
39,ANHIR,COAD_12,S5,4,HE
40,ANHIR,COAD_12,S6,5,HE
41,ANHIR,COAD_12,S7,6,HE
42,ANHIR,COAD_20,HE,0,HE
43,ANHIR,COAD_20,S2,1,HE
44,ANHIR,COAD_20,S5,2,HE
45,ANHIR,COAD_20,S6,3,HE
46,ANHIR,COAD_20,S7,4,HE
47,ANHIR,lung-lobes_3,29-040-U-35W-Izd1-1-HE,0,HE
48,ANHIR,lung-lobes_3,29-040-U-35W-Izd1-2-cd31,1,HE
49,ANHIR,lung-lobes_3,29-040-U-35W-Izd1-3-Pro-SPC,2,HE
50,ANHIR,lung-lobes_3,29-040-U-35W-Izd1-4-cc10,3,HE
51,ANHIR,lung-lobes_3,29-040-U-35W-Izd1-6-ki67,4,HE
52,ANHIR,COAD_06,HE,0,HE
53,ANHIR,COAD_06,S2,1,HE
54,ANHIR,COAD_06,S5,2,HE
55,ANHIR,COAD_06,S6,3,HE
56,ANHIR,COAD_06,S7,4,HE
57,ANHIR,COAD_13,HE,0,HE
58,ANHIR,COAD_13,S2,1,HE
59,ANHIR,COAD_13,S5,2,HE
60,ANHIR,COAD_13,S6,3,HE
61,ANHIR,COAD_13,S7,4,HE
62,ANHIR,COAD_17,HE,0,HE
63,ANHIR,COAD_17,S1,1,HE
64,ANHIR,COAD_17,S2,2,HE
65,ANHIR,COAD_17,S3,3,HE
66,ANHIR,COAD_17,S5,4,HE
67,ANHIR,COAD_17,S6,5,HE
68,ANHIR,COAD_17,S7,6,HE
69,ANHIR,gastric_3,CD1a,0,HE
70,ANHIR,gastric_3,CD4,1,HE
71,ANHIR,gastric_3,CD68,2,HE
72,ANHIR,gastric_3,CD8,3,HE
73,ANHIR,COAD_10,HE,0,HE
74,ANHIR,COAD_10,S1,1,HE
75,ANHIR,COAD_10,S4,2,HE
