,project,group,sample,group_idx,type
0,ANHIR,COAD_01_4,S1,0,HE
1,ANHIR,COAD_01_4,S3,1,HE
2,ANHIR,COAD_01_5,S1,0,HE
3,ANHIR,COAD_01_5,S6,1,HE
4,ANHIR,COAD_01_6,S1,0,HE
5,ANHIR,COAD_01_6,S7,1,HE
6,ANHIR,COAD_01_7,S3,0,HE
7,ANHIR,COAD_01_7,S6,1,HE
8,ANHIR,COAD_01_8,S3,0,HE
9,ANHIR,COAD_01_8,S7,1,HE
10,ANHIR,COAD_01_13,S6,0,HE
11,ANHIR,COAD_01_13,S7,1,HE
12,ANHIR,COAD_02_18,S2,0,HE
13,ANHIR,COAD_02_18,S3,1,HE
14,ANHIR,COAD_02_19,S2,0,HE
15,ANHIR,COAD_02_19,S6,1,HE
16,ANHIR,COAD_02_20,S2,0,HE
17,ANHIR,COAD_02_20,S7,1,HE
18,ANHIR,COAD_02_21,S3,0,HE
19,ANHIR,COAD_02_21,S6,1,HE
20,ANHIR,COAD_02_22,S3,0,HE
21,ANHIR,COAD_02_22,S7,1,HE
22,ANHIR,COAD_02_27,S6,0,HE
23,ANHIR,COAD_02_27,S7,1,HE
24,ANHIR,COAD_03_30,S2,0,HE
25,ANHIR,COAD_03_30,S5,1,HE
26,ANHIR,COAD_04_33,S2,0,HE
27,ANHIR,COAD_04_33,S5,1,HE
28,ANHIR,COAD_05_38,S2,0,HE
29,ANHIR,COAD_05_38,S5-v1,1,HE
30,ANHIR,COAD_05_39,S2,0,HE
31,ANHIR,COAD_05_39,S6,1,HE
32,ANHIR,COAD_05_40,S2,0,HE
33,ANHIR,COAD_05_40,S7,1,HE
34,ANHIR,COAD_05_41,S5-v1,0,HE
35,ANHIR,COAD_05_41,S6,1,HE
36,ANHIR,COAD_05_42,S5-v1,0,HE
37,ANHIR,COAD_05_42,S7,1,HE
38,ANHIR,COAD_05_47,S6,0,HE
39,ANHIR,COAD_05_47,S7,1,HE
40,ANHIR,COAD_06_51,S2,0,HE
41,ANHIR,COAD_06_51,S5,1,HE
42,ANHIR,COAD_06_52,S2,0,HE
43,ANHIR,COAD_06_52,S7,1,HE
44,ANHIR,COAD_06_53,S5,0,HE
45,ANHIR,COAD_06_53,S7,1,HE
46,ANHIR,COAD_07_60,S2,0,HE
47,ANHIR,COAD_07_60,S5,1,HE
48,ANHIR,COAD_07_61,S2,0,HE
49,ANHIR,COAD_07_61,S7,1,HE
50,ANHIR,COAD_07_62,S5,0,HE
51,ANHIR,COAD_07_62,S7,1,HE
52,ANHIR,COAD_08_70,S1,0,HE
53,ANHIR,COAD_08_70,S3,1,HE
54,ANHIR,COAD_08_71,S1,0,HE
55,ANHIR,COAD_08_71,S6,1,HE
56,ANHIR,COAD_08_72,S1,0,HE
57,ANHIR,COAD_08_72,S7,1,HE
58,ANHIR,COAD_08_73,S3,0,HE
59,ANHIR,COAD_08_73,S6,1,HE
60,ANHIR,COAD_08_74,S3,0,HE
61,ANHIR,COAD_08_74,S7,1,HE
62,ANHIR,COAD_08_79,S6,0,HE
63,ANHIR,COAD_08_79,S7,1,HE
64,ANHIR,COAD_09_84,S1,0,HE
65,ANHIR,COAD_09_84,S2,1,HE
66,ANHIR,COAD_09_85,S1,0,HE
67,ANHIR,COAD_09_85,S5,1,HE
68,ANHIR,COAD_09_86,S1,0,HE
69,ANHIR,COAD_09_86,S6,1,HE
70,ANHIR,COAD_09_87,S2,0,HE
71,ANHIR,COAD_09_87,S5,1,HE
72,ANHIR,COAD_09_88,S2,0,HE
73,ANHIR,COAD_09_88,S6,1,HE
74,ANHIR,COAD_09_93,S5,0,HE
75,ANHIR,COAD_09_93,S6,1,HE
76,ANHIR,COAD_10_102,S1,0,HE
77,ANHIR,COAD_10_102,S4,1,HE
78,ANHIR,COAD_10_103,S1,0,HE
79,ANHIR,COAD_10_103,S6,1,HE
80,ANHIR,COAD_10_104,S1,0,HE
81,ANHIR,COAD_10_104,S7,1,HE
82,ANHIR,COAD_10_105,S4,0,HE
83,ANHIR,COAD_10_105,S6,1,HE
84,ANHIR,COAD_10_106,S4,0,HE
85,ANHIR,COAD_10_106,S7,1,HE
86,ANHIR,COAD_10_111,S6,0,HE
87,ANHIR,COAD_10_111,S7,1,HE
