,project,group,sample,group_idx,type
0,Acrobat,val_56,56_HE_val,0,HE
1,Acrobat,val_56,56_KI67_val,1,HE
2,Acrobat,val_88,88_HE_val,0,HE
3,Acrobat,val_88,88_PGR_val,1,HE
4,Acrobat,val_79,79_PGR_val,1,HE
5,Acrobat,val_79,79_HE_val,0,HE
6,Acrobat,val_29,29_HE_val,0,HE
7,Acrobat,val_29,29_KI67_val,1,HE
8,Acrobat,val_36,36_PGR_val,1,HE
9,Acrobat,val_36,36_HE_val,0,HE
10,Acrobat,val_65,65_PGR_val,1,HE
11,Acrobat,val_65,65_HE_val,0,HE
12,Acrobat,val_7,7_PGR_val,1,HE
13,Acrobat,val_7,7_HE_val,0,HE
14,Acrobat,val_94,94_ER_val,1,HE
15,Acrobat,val_94,94_HE_val,0,HE
16,Acrobat,val_45,45_ER_val,1,HE
17,Acrobat,val_45,45_HE_val,0,HE
18,Acrobat,val_24,24_KI67_val,1,HE
19,Acrobat,val_24,24_HE_val,0,HE
20,Acrobat,val_3,3_HE_val,0,HE
21,Acrobat,val_3,3_PGR_val,1,HE
22,Acrobat,val_37,37_ER_val,1,HE
23,Acrobat,val_37,37_HE_val,0,HE
24,Acrobat,val_81,81_ER_val,1,HE
25,Acrobat,val_81,81_HE_val,0,HE
26,Acrobat,val_66,66_KI67_val,1,HE
27,Acrobat,val_66,66_HE_val,0,HE
28,Acrobat,val_78,78_HE_val,0,HE
29,Acrobat,val_78,78_ER_val,1,HE
30,Acrobat,val_17,17_HE_val,0,HE
31,Acrobat,val_17,17_PGR_val,1,HE
32,Acrobat,val_27,27_KI67_val,1,HE
33,Acrobat,val_27,27_HE_val,0,HE
34,Acrobat,val_69,69_ER_val,1,HE
35,Acrobat,val_69,69_HE_val,0,HE
36,Acrobat,val_44,44_KI67_val,1,HE
37,Acrobat,val_44,44_HE_val,0,HE
38,Acrobat,val_97,97_KI67_val,1,HE
39,Acrobat,val_97,97_HE_val,0,HE
40,Acrobat,val_90,90_ER_val,1,HE
41,Acrobat,val_90,90_HE_val,0,HE
42,Acrobat,val_63,63_HE_val,0,HE
43,Acrobat,val_63,63_KI67_val,1,HE
44,Acrobat,val_99,99_PGR_val,1,HE
45,Acrobat,val_99,99_HE_val,0,HE
46,Acrobat,val_71,71_ER_val,1,HE
47,Acrobat,val_71,71_HE_val,0,HE
48,Acrobat,val_50,50_KI67_val,1,HE
49,Acrobat,val_50,50_HE_val,0,HE
50,Acrobat,val_33,33_HER2_val,1,HE
51,Acrobat,val_33,33_HE_val,0,HE
52,Acrobat,val_42,42_ER_val,1,HE
53,Acrobat,val_42,42_HE_val,0,HE
54,Acrobat,val_49,49_HE_val,0,HE
55,Acrobat,val_49,49_KI67_val,1,HE
56,Acrobat,val_82,82_HER2_val,1,HE
57,Acrobat,val_82,82_HE_val,0,HE
58,Acrobat,val_34,34_HE_val,0,HE
59,Acrobat,val_34,34_KI67_val,1,HE
60,Acrobat,val_59,59_HER2_val,1,HE
61,Acrobat,val_59,59_HE_val,0,HE
62,Acrobat,val_4,4_HE_val,0,HE
63,Acrobat,val_4,4_HER2_val,1,HE
64,Acrobat,val_25,25_PGR_val,1,HE
65,Acrobat,val_25,25_HE_val,0,HE
66,Acrobat,val_41,41_HE_val,0,HE
67,Acrobat,val_41,41_HER2_val,1,HE
68,Acrobat,val_80,80_HE_val,0,HE
69,Acrobat,val_80,80_ER_val,1,HE
70,Acrobat,val_18,18_HE_val,0,HE
71,Acrobat,val_18,18_PGR_val,1,HE
72,Acrobat,val_31,31_HE_val,0,HE
73,Acrobat,val_31,31_KI67_val,1,HE
74,Acrobat,val_5,5_ER_val,1,HE
75,Acrobat,val_5,5_HE_val,0,HE
