,project,group,sample,group_idx,type
0,CRC,CRC1,WD-76845-001,0,HE
1,CRC,CRC1,WD-76845-002,1,IHC
2,CRC,CRC1,WD-76845-006,2,HE
3,CRC,CRC1,WD-76845-007,3,IHC
4,CRC,CRC1,WD-76845-013,4,HE
5,CRC,CRC1,WD-76845-014,5,IHC
6,CRC,CRC1,WD-76845-019,6,HE
7,CRC,CRC1,WD-76845-020,7,IHC
8,CRC,CRC1,WD-76845-024,8,HE
9,CRC,CRC1,WD-76845-025,9,IHC
10,CRC,CRC1,WD-76845-028,10,HE
11,CRC,CRC1,WD-76845-029,11,IHC
12,CRC,CRC1,WD-76845-033,12,HE
13,CRC,CRC1,WD-76845-034,13,IHC
14,CRC,CRC1,WD-76845-038,14,HE
15,CRC,CRC1,WD-76845-039,15,IHC
16,CRC,CRC1,WD-76845-043,16,HE
17,CRC,CRC1,WD-76845-044,17,IHC
18,CRC,CRC1,WD-76845-048,18,HE
19,CRC,CRC1,WD-76845-049,19,IHC
20,CRC,CRC1,WD-76845-050,20,IHC
21,CRC,CRC1,WD-76845-051,21,IHC
22,CRC,CRC1,WD-76845-052,22,IHC
23,CRC,CRC1,WD-76845-053,23,HE
24,CRC,CRC1,WD-76845-054,24,IHC
25,CRC,CRC1,WD-76845-058,25,HE
26,CRC,CRC1,WD-76845-059,26,IHC
27,CRC,CRC1,WD-76845-063,27,HE
28,CRC,CRC1,WD-76845-064,28,IHC
29,CRC,CRC1,WD-76845-068,29,HE
30,CRC,CRC1,WD-76845-069,30,IHC
31,CRC,CRC1,WD-76845-073,31,HE
32,CRC,CRC1,WD-76845-074,32,IHC
33,CRC,CRC1,WD-76845-077,33,HE
34,CRC,CRC1,WD-76845-078,34,IHC
35,CRC,CRC1,WD-76845-083,35,HE
36,CRC,CRC1,WD-76845-084,36,IHC
37,CRC,CRC1,WD-76845-085,37,HE
38,CRC,CRC1,WD-76845-086,38,IHC
39,CRC,CRC1,WD-76845-090,39,HE
40,CRC,CRC1,WD-76845-091,40,IHC
41,CRC,CRC1,WD-76845-096,41,HE
42,CRC,CRC1,WD-76845-097,42,IHC
43,CRC,CRC1,WD-76845-101,43,HE
44,CRC,CRC1,WD-76845-102,44,IHC
45,CRC,CRC1,WD-76845-105,45,HE
46,CRC,CRC1,WD-76845-106,46,IHC
