,project,group,sample,group_idx,type
0,fair,liver,001,0,HE
1,fair,liver,002,1,HE
2,fair,liver,003,2,HE
3,fair,liver,004,3,HE
4,fair,liver,005,4,HE
5,fair,liver,006,5,HE
6,fair,liver,007,6,HE
7,fair,liver,008,7,HE
8,fair,liver,009,8,HE
9,fair,liver,010,9,HE
10,fair,liver,011,10,HE
11,fair,liver,012,11,HE
12,fair,liver,013,12,HE
13,fair,liver,014,13,HE
14,fair,liver,015,14,HE
15,fair,liver,016,15,HE
16,fair,liver,017,16,HE
17,fair,liver,018,17,HE
18,fair,liver,019,18,HE
19,fair,liver,020,19,HE
20,fair,liver,021,20,HE
21,fair,liver,022,21,HE
22,fair,liver,023,22,HE
23,fair,liver,024,23,HE
24,fair,liver,025,24,HE
25,fair,liver,026,25,HE
26,fair,liver,027,26,HE
27,fair,liver,028,27,HE
28,fair,liver,029,28,HE
29,fair,liver,030,29,HE
30,fair,liver,031,30,HE
31,fair,liver,032,31,HE
32,fair,liver,033,32,HE
33,fair,liver,034,33,HE
34,fair,liver,035,34,HE
35,fair,liver,036,35,HE
36,fair,liver,037,36,HE
37,fair,liver,038,37,HE
38,fair,liver,039,38,HE
39,fair,liver,040,39,HE
40,fair,liver,041,40,HE
41,fair,liver,042,41,HE
42,fair,liver,043,42,HE
43,fair,liver,044,43,HE
44,fair,liver,045,44,HE
45,fair,liver,046,45,HE
46,fair,liver,047,46,HE
47,fair,prostate,001,0,HE
48,fair,prostate,002,1,HE
49,fair,prostate,003,2,HE
50,fair,prostate,004,3,HE
51,fair,prostate,005,4,HE
52,fair,prostate,006,5,HE
53,fair,prostate,007,6,HE
54,fair,prostate,008,7,HE
55,fair,prostate,009,8,HE
56,fair,prostate,010,9,HE
57,fair,prostate,011,10,HE
58,fair,prostate,012,11,HE
59,fair,prostate,013,12,HE
60,fair,prostate,014,13,HE
61,fair,prostate,015,14,HE
62,fair,prostate,016,15,HE
63,fair,prostate,017,16,HE
64,fair,prostate,018,17,HE
65,fair,prostate,019,18,HE
66,fair,prostate,020,19,HE
67,fair,prostate,021,20,HE
68,fair,prostate,022,21,HE
69,fair,prostate,023,22,HE
70,fair,prostate,024,23,HE
71,fair,prostate,025,24,HE
72,fair,prostate,026,25,HE
73,fair,prostate,027,26,HE
74,fair,prostate,028,27,HE
75,fair,prostate,029,28,HE
76,fair,prostate,030,29,HE
77,fair,prostate,031,30,HE
78,fair,prostate,032,31,HE
79,fair,prostate,033,32,HE
80,fair,prostate,034,33,HE
81,fair,prostate,035,34,HE
82,fair,prostate,036,35,HE
83,fair,prostate,037,36,HE
84,fair,prostate,038,37,HE
85,fair,prostate,039,38,HE
86,fair,prostate,040,39,HE
87,fair,prostate,041,40,HE
88,fair,prostate,042,41,HE
89,fair,prostate,043,42,HE
90,fair,prostate,044,43,HE
91,fair,prostate,045,44,HE
92,fair,prostate,046,45,HE
93,fair,prostate,047,46,HE
94,fair,prostate,048,47,HE
95,fair,prostate,049,48,HE
96,fair,prostate,050,49,HE
97,fair,prostate,051,50,HE
98,fair,prostate,052,51,HE
99,fair,prostate,053,52,HE
100,fair,prostate,054,53,HE
101,fair,prostate,055,54,HE
102,fair,prostate,056,55,HE
103,fair,prostate,057,56,HE
104,fair,prostate,058,57,HE
105,fair,prostate,059,58,HE
