,project,group,sample,group_idx,type
0,panlab,pdac,HE_7,0,HE
1,panlab,pdac,P1_14,1,P1
2,panlab,pdac,P2_15,2,P2
3,panlab,pdac,HE_16,3,HE
4,panlab,pdac,P3_16,4,P3
5,panlab,pdac,P4_17,5,P4
6,panlab,pdac,P1_18,6,P1
7,panlab,pdac,P2_19,7,P2
8,panlab,pdac,HE_20,8,HE
9,panlab,pdac,P3_20,9,P3
10,panlab,pdac,P4_21,10,P4
11,panlab,pdac,P2_23,11,P2
12,panlab,pdac,P1_26,12,P1
13,panlab,pdac,P2_27,13,P2
14,panlab,pdac,HE_28,14,HE
15,panlab,pdac,P3_28,15,P3
16,panlab,pdac,P1_30,16,P1
17,panlab,pdac,P2_31,17,P2
18,panlab,pdac,HE_32,18,HE
19,panlab,pdac,P3_32,19,P3
20,panlab,pdac,P1_34,20,P1
21,panlab,pdac,P2_35,21,P2
22,panlab,pdac,P3_36,22,P3
23,panlab,pdac,P1_38,23,P1
24,panlab,pdac,P2_39,24,P2
25,panlab,pdac,HE_40,25,HE
26,panlab,pdac,P3_40,26,P3
27,panlab,pdac,P1_42,27,P1
28,panlab,pdac,P2_43,28,P2
29,panlab,pdac,P3_44,29,P3
30,panlab,pdac,P1_46,30,P1
31,panlab,pdac,P2_47,31,P2
32,panlab,pdac,HE_48,32,HE
33,panlab,pdac,P3_48,33,P3
34,panlab,pdac,P2_51,34,P2
35,panlab,pdac,HE_52,35,HE
36,panlab,pdac,P3_52,36,P3
37,panlab,pdac,P1_54,37,P1
38,panlab,pdac,P2_55,38,P2
39,panlab,pdac,HE_56,39,HE
40,panlab,pdac,P3_56,40,P3
41,panlab,pdac,P1_58,41,P1
43,panlab,pdac,P2_59,42,P2
44,panlab,pdac,HE_60,43,HE
45,panlab,pdac,P3_60,44,P3
46,panlab,pdac,P1_62,45,P1
47,panlab,pdac,P2_63,46,P2
48,panlab,pdac,HE_64,47,HE
49,panlab,pdac,P3_64,48,P3
50,panlab,pdac,P1_66,49,P1
51,panlab,pdac,P2_67,50,P2
52,panlab,pdac,HE_68,51,HE
53,panlab,pdac,P3_68,52,P3
54,panlab,pdac,P1_70,53,P1
55,panlab,pdac,P2_72,54,P2
56,panlab,pdac,HE_73,55,HE
57,panlab,pdac,P3_73,56,P3
58,panlab,pdac,HE_74,57,HE
59,panlab,pdac,P1_75,58,P1
60,panlab,pdac,P2_76,59,P2
61,panlab,pdac,HE_77,60,HE
62,panlab,pdac,P3_77,61,P3
63,panlab,pdac,P1_79,62,P1
64,panlab,pdac,P2_80,63,P2
65,panlab,pdac,HE_81,64,HE
66,panlab,pdac,P3_81,65,P3
