,project,group,sample,group_idx,type
0,panlab,ALL-TLS_100,HE,0,HE
1,panlab,ALL-TLS_100,P1,1,P1
2,panlab,ALL-TLS_100,P2,2,P2
3,panlab,ALL-TLS_100,P3,3,P3
4,panlab,ALL-TLS_100,P4,4,P4
5,panlab,ALL-TLS_103,HE,0,HE
6,panlab,ALL-TLS_103,P1,1,P1
7,panlab,ALL-TLS_103,P2,2,P2
8,panlab,ALL-TLS_103,P3,3,P3
9,panlab,ALL-TLS_103,P4,4,P4
10,panlab,ALL-TLS_109,HE,0,HE
11,panlab,ALL-TLS_109,P1,1,P1
12,panlab,ALL-TLS_109,P2,2,P2
13,panlab,ALL-TLS_109,P3,3,P3
14,panlab,ALL-TLS_109,P4,4,P4
15,panlab,ALL-TLS_11,HE,0,HE
16,panlab,ALL-TLS_11,P1,1,P1
17,panlab,ALL-TLS_11,P2,2,P2
18,panlab,ALL-TLS_11,P3,3,P3
19,panlab,ALL-TLS_11,P4,4,P4
20,panlab,ALL-TLS_112,HE,0,HE
21,panlab,ALL-TLS_112,P1,1,P1
22,panlab,ALL-TLS_112,P2,2,P2
23,panlab,ALL-TLS_112,P3,3,P3
24,panlab,ALL-TLS_112,P4,4,P4
25,panlab,ALL-TLS_113,HE,0,HE
26,panlab,ALL-TLS_113,P1,1,P1
27,panlab,ALL-TLS_113,P2,2,P2
28,panlab,ALL-TLS_113,P3,3,P3
29,panlab,ALL-TLS_113,P4,4,P4
30,panlab,ALL-TLS_114,HE,0,HE
31,panlab,ALL-TLS_114,P1,1,P1
32,panlab,ALL-TLS_114,P2,2,P2
33,panlab,ALL-TLS_114,P3,3,P3
34,panlab,ALL-TLS_114,P4,4,P4
35,panlab,ALL-TLS_115,HE,0,HE
36,panlab,ALL-TLS_115,P1,1,P1
37,panlab,ALL-TLS_115,P2,2,P2
38,panlab,ALL-TLS_115,P3,3,P3
39,panlab,ALL-TLS_115,P4,4,P4
40,panlab,ALL-TLS_116,HE,0,HE
41,panlab,ALL-TLS_116,P1,1,P1
42,panlab,ALL-TLS_116,P2,2,P2
43,panlab,ALL-TLS_116,P3,3,P3
44,panlab,ALL-TLS_116,P4,4,P4
45,panlab,ALL-TLS_117,HE,0,HE
46,panlab,ALL-TLS_117,P1,1,P1
47,panlab,ALL-TLS_117,P2,2,P2
48,panlab,ALL-TLS_117,P3,3,P3
49,panlab,ALL-TLS_117,P4,4,P4
50,panlab,ALL-TLS_118,HE,0,HE
51,panlab,ALL-TLS_118,P1,1,P1
52,panlab,ALL-TLS_118,P2,2,P2
53,panlab,ALL-TLS_118,P3,3,P3
54,panlab,ALL-TLS_118,P4,4,P4
55,panlab,ALL-TLS_120,HE,0,HE
56,panlab,ALL-TLS_120,P1,1,P1
57,panlab,ALL-TLS_120,P2,2,P2
58,panlab,ALL-TLS_120,P3,3,P3
59,panlab,ALL-TLS_120,P4,4,P4
60,panlab,ALL-TLS_121,HE,0,HE
61,panlab,ALL-TLS_121,P1,1,P1
62,panlab,ALL-TLS_121,P2,2,P2
63,panlab,ALL-TLS_121,P3,3,P3
64,panlab,ALL-TLS_121,P4,4,P4
65,panlab,ALL-TLS_122,HE,0,HE
66,panlab,ALL-TLS_122,P1,1,P1
67,panlab,ALL-TLS_122,P2,2,P2
68,panlab,ALL-TLS_122,P3,3,P3
69,panlab,ALL-TLS_122,P4,4,P4
70,panlab,ALL-TLS_123,HE,0,HE
71,panlab,ALL-TLS_123,P1,1,P1
72,panlab,ALL-TLS_123,P2,2,P2
73,panlab,ALL-TLS_123,P3,3,P3
74,panlab,ALL-TLS_123,P4,4,P4
75,panlab,ALL-TLS_124,HE,0,HE
76,panlab,ALL-TLS_124,P1,1,P1
77,panlab,ALL-TLS_124,P2,2,P2
78,panlab,ALL-TLS_124,P3,3,P3
79,panlab,ALL-TLS_124,P4,4,P4
80,panlab,ALL-TLS_125,HE,0,HE
81,panlab,ALL-TLS_125,P1,1,P1
82,panlab,ALL-TLS_125,P2,2,P2
83,panlab,ALL-TLS_125,P3,3,P3
84,panlab,ALL-TLS_125,P4,4,P4
85,panlab,ALL-TLS_126,HE,0,HE
86,panlab,ALL-TLS_126,P1,1,P1
87,panlab,ALL-TLS_126,P3,2,P3
88,panlab,ALL-TLS_126,P4,3,P4
89,panlab,ALL-TLS_127,HE,0,HE
90,panlab,ALL-TLS_127,P1,1,P1
91,panlab,ALL-TLS_127,P2,2,P2
92,panlab,ALL-TLS_127,P4,3,P4
93,panlab,ALL-TLS_129,HE,0,HE
94,panlab,ALL-TLS_129,P1,1,P1
95,panlab,ALL-TLS_129,P2,2,P2
96,panlab,ALL-TLS_129,P3,3,P3
97,panlab,ALL-TLS_129,P4,4,P4
98,panlab,ALL-TLS_13,HE,0,HE
99,panlab,ALL-TLS_13,P1,1,P1
100,panlab,ALL-TLS_13,P2,2,P2
101,panlab,ALL-TLS_13,P3,3,P3
102,panlab,ALL-TLS_13,P4,4,P4
103,panlab,ALL-TLS_131,HE,0,HE
104,panlab,ALL-TLS_131,P1,1,P1
105,panlab,ALL-TLS_131,P2,2,P2
106,panlab,ALL-TLS_131,P3,3,P3
107,panlab,ALL-TLS_131,P4,4,P4
108,panlab,ALL-TLS_134,HE,0,HE
109,panlab,ALL-TLS_134,P1,1,P1
110,panlab,ALL-TLS_134,P3,2,P3
111,panlab,ALL-TLS_134,P4,3,P4
112,panlab,ALL-TLS_135,HE,0,HE
113,panlab,ALL-TLS_135,P1,1,P1
114,panlab,ALL-TLS_135,P2,2,P2
115,panlab,ALL-TLS_135,P3,3,P3
116,panlab,ALL-TLS_135,P4,4,P4
117,panlab,ALL-TLS_137,HE,0,HE
118,panlab,ALL-TLS_137,P1,1,P1
119,panlab,ALL-TLS_137,P2,2,P2
120,panlab,ALL-TLS_137,P3,3,P3
121,panlab,ALL-TLS_137,P4,4,P4
122,panlab,ALL-TLS_14,HE,0,HE
123,panlab,ALL-TLS_14,P1,1,P1
124,panlab,ALL-TLS_14,P2,2,P2
125,panlab,ALL-TLS_14,P3,3,P3
126,panlab,ALL-TLS_14,P4,4,P4
127,panlab,ALL-TLS_140,HE,0,HE
128,panlab,ALL-TLS_140,P1,1,P1
129,panlab,ALL-TLS_140,P2,2,P2
130,panlab,ALL-TLS_140,P3,3,P3
131,panlab,ALL-TLS_140,P4,4,P4
132,panlab,ALL-TLS_141,HE,0,HE
133,panlab,ALL-TLS_141,P1,1,P1
134,panlab,ALL-TLS_141,P2,2,P2
135,panlab,ALL-TLS_141,P3,3,P3
136,panlab,ALL-TLS_141,P4,4,P4
137,panlab,ALL-TLS_142,HE,0,HE
138,panlab,ALL-TLS_142,P1,1,P1
139,panlab,ALL-TLS_142,P2,2,P2
140,panlab,ALL-TLS_142,P3,3,P3
141,panlab,ALL-TLS_142,P4,4,P4
142,panlab,ALL-TLS_144,HE,0,HE
143,panlab,ALL-TLS_144,P1,1,P1
144,panlab,ALL-TLS_144,P2,2,P2
145,panlab,ALL-TLS_144,P3,3,P3
146,panlab,ALL-TLS_144,P4,4,P4
147,panlab,ALL-TLS_147,HE,0,HE
148,panlab,ALL-TLS_147,P1,1,P1
149,panlab,ALL-TLS_147,P2,2,P2
150,panlab,ALL-TLS_147,P3,3,P3
151,panlab,ALL-TLS_147,P4,4,P4
152,panlab,ALL-TLS_148,HE,0,HE
153,panlab,ALL-TLS_148,P1,1,P1
154,panlab,ALL-TLS_148,P2,2,P2
155,panlab,ALL-TLS_148,P3,3,P3
156,panlab,ALL-TLS_148,P4,4,P4
157,panlab,ALL-TLS_149,HE,0,HE
158,panlab,ALL-TLS_149,P1,1,P1
159,panlab,ALL-TLS_149,P2,2,P2
160,panlab,ALL-TLS_149,P3,3,P3
161,panlab,ALL-TLS_149,P4,4,P4
162,panlab,ALL-TLS_150,HE,0,HE
163,panlab,ALL-TLS_150,P1,1,P1
164,panlab,ALL-TLS_150,P2,2,P2
165,panlab,ALL-TLS_150,P3,3,P3
166,panlab,ALL-TLS_150,P4,4,P4
167,panlab,ALL-TLS_151,HE,0,HE
168,panlab,ALL-TLS_151,P1,1,P1
169,panlab,ALL-TLS_151,P2,2,P2
170,panlab,ALL-TLS_151,P3,3,P3
171,panlab,ALL-TLS_151,P4,4,P4
172,panlab,ALL-TLS_152,HE,0,HE
173,panlab,ALL-TLS_152,P1,1,P1
174,panlab,ALL-TLS_152,P2,2,P2
175,panlab,ALL-TLS_152,P3,3,P3
176,panlab,ALL-TLS_152,P4,4,P4
177,panlab,ALL-TLS_153,HE,0,HE
178,panlab,ALL-TLS_153,P1,1,P1
179,panlab,ALL-TLS_153,P2,2,P2
180,panlab,ALL-TLS_153,P3,3,P3
181,panlab,ALL-TLS_153,P4,4,P4
182,panlab,ALL-TLS_154,HE,0,HE
183,panlab,ALL-TLS_154,P1,1,P1
184,panlab,ALL-TLS_154,P2,2,P2
185,panlab,ALL-TLS_154,P3,3,P3
186,panlab,ALL-TLS_154,P4,4,P4
187,panlab,ALL-TLS_156,HE,0,HE
188,panlab,ALL-TLS_156,P1,1,P1
189,panlab,ALL-TLS_156,P2,2,P2
190,panlab,ALL-TLS_156,P3,3,P3
191,panlab,ALL-TLS_156,P4,4,P4
192,panlab,ALL-TLS_157,HE,0,HE
193,panlab,ALL-TLS_157,P1,1,P1
194,panlab,ALL-TLS_157,P2,2,P2
195,panlab,ALL-TLS_157,P3,3,P3
196,panlab,ALL-TLS_157,P4,4,P4
197,panlab,ALL-TLS_158,HE,0,HE
198,panlab,ALL-TLS_158,P1,1,P1
199,panlab,ALL-TLS_158,P2,2,P2
200,panlab,ALL-TLS_158,P3,3,P3
201,panlab,ALL-TLS_158,P4,4,P4
202,panlab,ALL-TLS_159,HE,0,HE
203,panlab,ALL-TLS_159,P1,1,P1
204,panlab,ALL-TLS_159,P2,2,P2
205,panlab,ALL-TLS_159,P3,3,P3
206,panlab,ALL-TLS_159,P4,4,P4
207,panlab,ALL-TLS_16,HE,0,HE
208,panlab,ALL-TLS_16,P1,1,P1
209,panlab,ALL-TLS_16,P2,2,P2
210,panlab,ALL-TLS_16,P3,3,P3
211,panlab,ALL-TLS_16,P4,4,P4
212,panlab,ALL-TLS_160,HE,0,HE
213,panlab,ALL-TLS_160,P1,1,P1
214,panlab,ALL-TLS_160,P2,2,P2
215,panlab,ALL-TLS_160,P3,3,P3
216,panlab,ALL-TLS_160,P4,4,P4
217,panlab,ALL-TLS_162,HE,0,HE
218,panlab,ALL-TLS_162,P1,1,P1
219,panlab,ALL-TLS_162,P2,2,P2
220,panlab,ALL-TLS_162,P3,3,P3
221,panlab,ALL-TLS_162,P4,4,P4
222,panlab,ALL-TLS_164,HE,0,HE
223,panlab,ALL-TLS_164,P1,1,P1
224,panlab,ALL-TLS_164,P2,2,P2
225,panlab,ALL-TLS_164,P3,3,P3
226,panlab,ALL-TLS_164,P4,4,P4
227,panlab,ALL-TLS_166,HE,0,HE
228,panlab,ALL-TLS_166,P1,1,P1
229,panlab,ALL-TLS_166,P2,2,P2
230,panlab,ALL-TLS_166,P3,3,P3
231,panlab,ALL-TLS_166,P4,4,P4
232,panlab,ALL-TLS_168,HE,0,HE
233,panlab,ALL-TLS_168,P1,1,P1
234,panlab,ALL-TLS_168,P2,2,P2
235,panlab,ALL-TLS_168,P3,3,P3
236,panlab,ALL-TLS_168,P4,4,P4
237,panlab,ALL-TLS_169,HE,0,HE
238,panlab,ALL-TLS_169,P1,1,P1
239,panlab,ALL-TLS_169,P2,2,P2
240,panlab,ALL-TLS_169,P3,3,P3
241,panlab,ALL-TLS_169,P4,4,P4
242,panlab,ALL-TLS_172-FD,HE,0,HE
243,panlab,ALL-TLS_172-FD,P1,1,P1
244,panlab,ALL-TLS_172-FD,P2,2,P2
245,panlab,ALL-TLS_172-FD,P3,3,P3
246,panlab,ALL-TLS_173,HE,0,HE
247,panlab,ALL-TLS_173,P1,1,P1
248,panlab,ALL-TLS_173,P2,2,P2
249,panlab,ALL-TLS_173,P3,3,P3
250,panlab,ALL-TLS_173,P4,4,P4
251,panlab,ALL-TLS_175,HE,0,HE
252,panlab,ALL-TLS_175,P1,1,P1
253,panlab,ALL-TLS_175,P2,2,P2
254,panlab,ALL-TLS_175,P3,3,P3
255,panlab,ALL-TLS_175,P4,4,P4
256,panlab,ALL-TLS_176,HE,0,HE
257,panlab,ALL-TLS_176,P1,1,P1
258,panlab,ALL-TLS_176,P2,2,P2
259,panlab,ALL-TLS_176,P3,3,P3
260,panlab,ALL-TLS_176,P4,4,P4
